#\Asia\Afghanistan.txt;;;;;;;;;;;X;
EVT_777001_NAME;Domestic Reaction to Afghan Defeat;;;;;;;;;;X;#TODO
EVT_777001_DESC;The defeat of our armies has sent shockwaves through Afghanistan! Our secret service reports huge dissatisfaction with the royal government amongst both the peasants and the army! Even worse radical clerics are drumming up support for a general insurrection against the royal reform programme! These are truly dark times for our small kingdom.;;;;;;;;;;X;#TODO
EVT_777001_OPTIONA;The King can do as he likes! Surpress any rebellion!;;;;;;;;;;X;#TODO
EVT_777001_OPTIONB;Habibullah Kalakani raises the flag of Islamic revolt!;;;;;;;;;;X;#TODO
EVT_777001_OPTIONC;Mohammed Nadir deposes Amanullah and proclaims himself king!;;;;;;;;;;X;#TODO
EVT_777002_NAME;The Foreign Relations of the Emirate of Afghanistan;;;;;;;;;;X;#TODO
EVT_777002_DESC;Habibullah Kalakani has finaly brought Islamic order to the people of Afghanistan and established himself as the undisputed ruler of our nation. After our defeat by the Indian government, his majesty has proposed to court the Islamic Federation of Turkestan for an alliance to safeguard us from further military conflict with the Indians.;;;;;;;;;;X;#TODO
EVT_777002_OPTIONA;Let us align with the Islamic Federation of Turkestan!;;;;;;;;;;X;#TODO
EVT_777002_OPTIONB;As long as the country lies in ruins, we can't engage in foreign policy.;;;;;;;;;;X;#TODO
EVT_777003_NAME;Alliance Negotiations with the Islamic Emirate of Afghanistan;;;;;;;;;;X;#TODO
EVT_777003_DESC;In Afghanistan, the degenerate monarchy of Amanullah has been overthrown by an islamic revolt spearheaded by Habibullah Kalakani. Finally in total control of the country, Habibullah has approached us with an offer of alliance, hoping that the might of the Islamic Federation will dissuade enemies both foreign and domestic from attempting to overthrow his most righteous regime.;;;;;;;;;;X;#TODO
EVT_777003_OPTIONA;A most righteous proposition! We accept!;;;;;;;;;;X;#TODO
EVT_777003_OPTIONB;We shan't have anything to do with usurpers!;;;;;;;;;;X;#TODO
EVT_777004_NAME;Formation of the Bukhara-Kabul Pact;;;;;;;;;;X;#TODO
EVT_777004_DESC;Today, delegations from both Afghanistan and Turkestan met in Bukhara to formalise a binding treaty of alliance between the two nations. Glory to the people of God! Takbir!;;;;;;;;;;X;#TODO
EVT_777004_OPTIONA;Who can withstand the faithful when the faithful are united?;;;;;;;;;;X;#TODO
EVT_777500_NAME;The Annexation of Afghanistan;;;;;;;;;;X;#TODO
EVT_777500_DESC;Our victorious troops have eradicated any Afghan hopes of ever meddling further with the geo-political situation on the subcontinent. All that remains for us to do, is decide what to do with the vanquished.;;;;;;;;;;X;#TODO
EVT_777500_OPTIONA;Establish a workers' republic to guard the Khyber Pass!;;;;;;;;;;X;#TODO
EVT_777500_OPTIONB;Restore Amanullah Khan to an 'independent' Afghanistan.;;;;;;;;;;X;#TODO
EVT_777500_OPTIONC;Install Amanullah's brother as king of a loyal puppet state!;;;;;;;;;;X;#TODO
EVT_777500_OPTIOND;Restore Amanullah Khan to an 'independent' Afghanistan.;;;;;;;;;;X;#TODO
