#\Mitteleuropa\AUSGLEICH.txt;;;;;;;;;;;X
EVT_901000_NAME;Renegotiating the Ausgleich;;;;;;;Пересмотр австро-венгерского компромисса;;;X
EVT_901000_DESC;The Ausgleich was a constitutional compromise between Austria and Hungary negotiated in 1867 after disastrous results of war with Prussia threatened to rip monarchy apart. Every 10 years, the terms of the compromise were renegotiated, usually resulting in internal crisis as the Hungarians gradually escalated their demands towards remaining institution of the central government. It is now time for the 1937 renegotiation of the Ausgleich.;;;;;;;#TODO;;;X
EVT_901000_OPTIONA;Stay with Dualism;;;;;;;Сохранить дуализм;;;X
EVT_901000_OPTIONB;Move to Federalism;;;;;;;Перейти к федерализму;;;X
EVT_901000_OPTIONC;Centralize the Dual Monarchy;;;;;;;Централизация дуалистической монархии;;;X
EVT_901001_NAME;The Austrians want to retain Dualism!;;;;;;;Австрийцы хотят централизации Австро-Венгерской империи!;;;X
EVT_901001_DESC;The Ausgleich was the compromise between Austria and Hungary in 1867. Every 10 years, the terms of the compromise were renegotiated. Austria has chosen to maintain the dual-monarchy of Austria-Hungary.;;;;;;;Австро-венгерский компромисс - договор, заключенный Австрией и Венгрией в 1867 году. Каждые 10 лет условия компромисса пересматриваются. Австрийцы решили сохранить дуалистическую монархию.;;;X
EVT_901001_OPTIONA;Dualism has been good for us;;;;;;;Дуализм выгоден нам;;;X
EVT_901001_OPTIONB;Never!;;;;;;;#TODO;;;X
EVT_901002_NAME;The Austrians want to federate the Dual Monarchy!;;;;;;;Австрийцы хотят федерализации Австро-Венгерской империи!;;;X
EVT_901002_DESC;The Ausgleich was the compromise between Austria and Hungary in 1867. Every 10 years, the terms of the compromise were renegotiated. Austria wants to federate Austria-Hungary, resulting in a loss of power for us and for more regions of the empire to gain semi-autonomy.;;;;;;;#TODO;;;X
EVT_901002_OPTIONA;Agree and federate the Kingdom;;;;;;;Согласиться на федерацию;;;X
EVT_901002_OPTIONB;Never!;;;;;;;#TODO;;;X
EVT_901003_NAME;The Austrians want to centralize the Dual Monarchy!;;;;;;;Австрийцы хотят централизации Австро-Венгерской империи!;;;X
EVT_901003_DESC;The Ausgleich was the compromise between Austria and Hungary in 1867. Every 10 years, the terms of the compromise were renegotiated. This time, Austria wants to centralize the monarchy, resulting in a large loss of power for the Hungarians.;;;;;;;Австро-венгерский компромисс - договор, заключенный Австрией и Венгрией в 1867 году. Каждые 10 лет условия компромисса пересматриваются. На этот раз австрийцы хотят централизации монархии, в результате чего венгры потеряют влияние.;;;X
