#\China\AOG.txt;;;;;;;;;;;X;
EVT_90431_NAME;The Burning of the Head-Office;;;;;;;;;;X;Поджог штаб-квартиры
EVT_90431_DESC;At 21:15 on the night of February 11, 1936, a Guilin fire station received an alarm call that the Head-Office, the assembly location of the Board of Directors, was ablaze. A Chinese Nationalist by the name of Lee-Hom Ren was arrested at the scene of the blaze two hours later. There was a warrant out for his arrest, and after three hours of enhanced interogation he confessed to the arson.;;;;;;;;;;X;#TODO
EVT_90431_OPTIONA;This Is A Nationalist Outrage!;;;;;;;;;;X;Это возмутительно!
EVT_90432_NAME;The New Head-Office;;;;;;;;;;X;Штаб-квартира
EVT_90432_DESC;The former head office of the Board of Directors is now a smoldering rubble. The man who was responsible was hung but it does not solve the question of where the Board of Directors will hold their meetings.;;;;;;;;;;X;Штаб-квартира компании превратилась в пылающие руины. Поджигатель был повешен, но вопрос о месте проведения заседаний все еще не решен.
EVT_90432_OPTIONA;Rebuild the New Head-Office right where the former one stood;;;;;;;;;;X;Построить на месте старой
EVT_90432_OPTIONB;Guangzhou, the Industrial capital of Southern China;;;;;;;;;;X;Построить в Гуанчжоу, индустриальной столице Южного Китая
EVT_90432_OPTIONC;Changsha, On The Bank of the Xiang River;;;;;;;;;;X;Построить в Чанше, на берегу реки Сян
EVT_90432_OPTIOND;Nanchang, The Agricultural Capital of Southern China;;;;;;;;;;X;Построить в Наньчане, аграрной столице Южного Китая
EVT_90434_NAME;German Factories Shut Down;;;;;;;;;;X;Немецкие фабрики закрываются
EVT_90434_DESC;All German-owned factories in China have shut down in reaction to our refusal to hand over Nantong to the Legation Cities.;;;;;;;;;;X;В ответ на наш отказ передачи Наньтуна Содружеству Городов, немцы закрыли все свои заводы в Китае.
EVT_90434_OPTIONA;They've made a grave error...;;;;;;;;;;X;Они делают большую ошибку...
EVT_90434_OPTIONB;NO! We cannot let this happen! Buy them now!;;;;;;;;;;X;Мы не позволим этому случится! Выкупите их все!
EVT_890700_NAME;The Reactionary Reforms;;;;;;;;;;X;Реакционные реформы
