EVT_101201_NAME;Lala Lajpat Rai and the Calcutta Government;;;;;;;#TODO;;x
EVT_101201_OPTIONA;I must say, this is awfully exciting!;;;;;;;#TODO;;x
EVT_101202_NAME;A Special Session of the Indian National Congress;;;;;;;#TODO;;x
EVT_101202_OPTIONA;Internal fraction must be quelled!;;;;;;;#TODO;;x
EVT_101203_NAME;Bose Denounces Landlordism;;;;;;;#TODO;;x
EVT_101203_OPTIONA;He is right, this feudal practice must be eradicated!;;;;;;;#TODO;;x
EVT_101203_OPTIONB;Fazlul Huq moderates, let us nationalize the grand estates!;;;;;;;#TODO;;x
EVT_101203_OPTIONC;Heed the Mahatma and allow private property!;;;;;;;#TODO;;x
EVT_101204_NAME;Jawaharlal Nehru Laments the Industry;;;;;;;#TODO;;x
EVT_101204_OPTIONA;Industry and agriculture, both must be expanded!;;;;;;;#TODO;;x
EVT_101204_OPTIONB;The youngster is convincing, let us expand our industry!;;;;;;;#TODO;;x
EVT_101204_OPTIONC;The soul of India is her villages, focus on agriculture!;;;;;;;#TODO;;x
EVT_101205_NAME;The Mahatma Urges Unification;;;;;;;#TODO;;x
EVT_101205_OPTIONA;Princes and lapdogs must be driven out at bayonet point!;;;;;;;#TODO;;x
EVT_101205_OPTIONB;Unification is paramount, the methods used are not!;;;;;;;#TODO;;x
EVT_101205_OPTIONC;Warfare is immoral, strive for a negoatiated unification!;;;;;;;#TODO;;x
EVT_101206_NAME;The Session Endorses Bose's Maximists;;;;;;;#TODO;;x
EVT_101206_OPTIONA;Let the ruling classes tremble!;;;;;;;#TODO;;x
EVT_101207_NAME;The Session Endorses A. K. Fazlul Huq's Moderates;;;;;;;#TODO;;x
EVT_101207_OPTIONA;Let the ruling classes tremble!;;;;;;;#TODO;;x
EVT_101208_NAME;The Session Endorses the Mahatma's Agrarians!;;;;;;;#TODO;;x
EVT_101208_OPTIONA;Together, in unity!;;;;;;;#TODO;;x
EVT_101209_NAME;The Session Ends in a Stalemate!;;;;;;;#TODO;;x
EVT_101209_OPTIONA;Bose and Nehru agrees on an electoral alliance!;;;;;;;#TODO;;x
EVT_101209_OPTIONB;The Mahatma sways young Nehru to his side!;;;;;;;#TODO;;x
EVT_101210_NAME;The Passing of Shapurji Saklatvala;;;;;;;#TODO;;x
EVT_101210_DESC;Today, our ambassador to the Union of Britain, Shapurji Saklatvala, quietly passed away  at his London home. One of the first Indian socialists elected to the British parliament, Saklatvala stood as an unmovable bastion of good Anglo-Indian relations in the new proletarian era of international relations. His death is widely mourned both in Britain and Calcutta.;;;;;;;#TODO;;x
EVT_101210_OPTIONA;Till we meet again, comrade.;;;;;;;#TODO;;x
EVT_101212_NAME;Nationalizing the Yenangyaung Oil Fields;;;;;;;#TODO;;x
EVT_101212_OPTIONA;Initiate a full national takeover of the Oil Fields!;;;;;;;#TODO;;x
EVT_101212_OPTIONB;Let the oil fields be run by the local trade unions.;;;;;;;#TODO;;x
EVT_101212_OPTIONC;Maintain the status quo.;;;;;;;Ñîõðàíèòü ñòàòóñ-êâî;;x
EVT_101213_NAME;Shripad Amrit Dange Reforms the Anushilan Samiti;;;;;;;#TODO;;x
EVT_101213_OPTIONA;Let's hope he aims those bombs at the reactionaries!;;;;;;;#TODO;;x
EVT_101214_NAME;A Red India Arises;;;;;;;#TODO;;x
EVT_101214_OPTIONA;From the ashes of civil war, a new, Socialist, India shall emerge!;;;;;;;#TODO;;x
EVT_101214_OPTIONB;From the ashes of civil war, a new, Socialist, India shall rise!;;;;;;;#TODO;;x
EVT_101215_NAME;Political Integration in the New India;;;;;;;#TODO;;x
EVT_101215_OPTIONA;Convey a new special session of the INC to discuss integration!;;;;;;;#TODO;;x
