EVT_3968000_NAME;Centro de Estudios Universitarios;
EVT_3968000_DESC;Established in 1933 by the Asociación Católica de Propagandistas, the Centro de Estudios Universitarios is a foundation  for the development of education. It controlled and supported only a few universities like the Universidad de Deusto, but now it will gain control over the entire educational structure of our country.;
EVT_3968000_OPTIONA;Education should be in catholic hands!;
EVT_3968001_NAME;Academia Básica del Aire;
EVT_3968001_DESC;After the end of a war, it has been proposed to create of a new Air Force Academy where our glorious air forces can be trained and new aeronautical doctrines researched. This will require a low cost for us and should give great advantages to our air forces. Should we make this investment?;
EVT_3968001_OPTIONA;Yes, fund the new academy!;
EVT_3968001_OPTIONB;No, it's not worth it;
EVT_3968002_NAME;The new Aircraft factory in Vitoria;
EVT_3968002_DESC;Before the start of the war, there were plans for opening a new aircraft industry in Vitoria, the second largest Basque city after Bilbao, but the bad economic situation and the war prevented any investments. After our glorious victory, we have the opportunity to finance and support it, but maybe we could also make it a state-controlled industry. What should we do?;
EVT_3968002_OPTIONA;Let it be a state-controlled industry;
EVT_3968002_OPTIONB;Support it, but don't control it!;
EVT_3968002_OPTIONC;Do not support it;
EVT_3968003_NAME;Sociedad Española de Construcción Naval;
EVT_3968003_DESC;After the end of our glorious war against the Kingdom of Spain and the Federación Anarquista Ibérica, we've gained control over their factories, industries and research centres.;
EVT_3968003_OPTIONA;Great!;
EVT_3968004_NAME;The destiny of the african provinces;
EVT_3968004_DESC;During the civil war the catholic French government in exile, commonly known as Nationalist France, occupied the african spanish province. Surely now they would give them back to us, wouldn't we?;
EVT_3968004_OPTIONA;Those are our provinces!;
EVT_3968004_OPTIONB;We don't need them!;
EVT_3968005_NAME;Carlist Spain wants its provinces back;
EVT_3968005_DESC;During the civil war we occupied the african spanish province. Now that Carlists Spain emerged victorious, they are asking us to give those provinces back to them. Those provinces are not worth much, but maybe we could ask something in return.;
EVT_3968005_OPTIONA;We'll return them immediately!;
EVT_3968005_OPTIONB;We'll return them in exchange for military access!;
EVT_3968005_OPTIONC;They belong to us now!;
EVT_3968006_NAME;Nationalist France asked for military access;
EVT_3968006_DESC;Nationalist France asked us to grant them military access to all our bases in exchange for the return of our provinces.;
EVT_3968006_OPTIONA;Ok, ok, just give those provinces back!;
EVT_3968006_OPTIONB;We don't need them!;
EVT_3968007_NAME;Carlist Spain agreed!;
EVT_3968007_DESC;Carlist Spain agreed and granted us military access, it is a great deal for us!.;
EVT_3968007_OPTIONA;Excellent!;
EVT_3968008_NAME;Nationalist France agreed!;
EVT_3968008_DESC;The African provinces are now back to their rightful owner, under the glorious rule of Carlist Spain!;
EVT_3968008_OPTIONA;Excellent!;
EVT_3968009_NAME;Nationalist France refused!;
EVT_3968009_DESC;Nationalist France refused to give us control over our african provinces. They are not worth much, but the people won't like it. Unfortunately we just emerged from a civil war;
EVT_3968009_OPTIONA;Damn them to hell!;
EVT_3968009_OPTIONB;We will drive them out !;
EVT_91233_NAME;The Carlist City of Madrid;
EVT_91233_DESC;The Pope has been interested since the end of the Spanish Civil War in visiting Madrid.;
EVT_91233_OPTIONA;Announce His Holiness' plan to visit Spain!;
EVT_91233_OPTIONB;Bah! Roma is where His Holiness will stay!;
EVT_91234_NAME;The Pope Announces his trip to Madrid;
EVT_91234_DESC;The Pope has recently announced he would like to make a trip to Carlist Madrid celebrating the Carlist Victory in the Spanish Civil War.;
EVT_91234_OPTIONA;The Pope Would Honor us with his presence? Welcome him!;
EVT_91234_OPTIONB;We're not interested !;
EVT_91235_NAME;The Pope Visits Madrid;
EVT_91235_DESC;The Popes plane landed down yesterday, and he is taking part in a parade in his honor.;
EVT_91235_OPTIONA;His Holiness has arrived!;
EVT_91247_NAME;The Mediterranean bloc;
EVT_91247_DESC;As our nation rises from the horrors of the Civil War, we are finding increased faith in the people, of both our government and our glorious armed forces. There has been serious talk amongst the military and national leaders of this country to use our strength to defend our interests across the Mediterranean.;
EVT_91247_OPTIONA;Try to form a new bloc in Mediterranean;
EVT_91247_OPTIONB;It was a violent civil war... we must rebuild.;
EVT_91248_NAME;The Mediterranean bloc;
EVT_91248_DESC;As the strength of the Carlists increase after the bloody Spanish Civil War, their gratitude towards us for our involvement in the civil war has risen. They are now offering us to form a new military bloc to protect our mutual national interests. How shall we respond ?;
EVT_91248_OPTIONA;Accept their offer;
EVT_91248_OPTIONB;Refuse !;
EVT_91249000_NAME;The Pope in Exile;
EVT_91249000_DESC;With Italy in ruins, the Pope and his entourage has come to Spain, seeking refuge in our lands until Rome is once again secured.;
EVT_91249000_OPTIONA;He is always welcome here.;
EVT_91249_NAME;The Mediterranean bloc;
EVT_91249_DESC;National leaders now believe it is time to start insuring the prosperity of fellow Mediterranean nations.;
EVT_91249_OPTIONA;Send out the envoys!;
EVT_91249_OPTIONB;This was a bad idea...;
EVT_91250_NAME;The Mediterranean bloc;
EVT_91250_DESC;After the end of the Spanish Civil War, Carlist Spain has proposed the creation of a Mediterrean Block, an economic and military alliance among the nations of the Mediterranena Sea.;
EVT_91250_OPTIONA;OK.;
EVT_91250_OPTIONB;We must join in their cause!;
EVT_91252_NAME;The Mediterranean bloc;
EVT_91252_DESC;After the end of the Spanish Civil War, Carlist Spain has proposed the creation of a Mediterrean Bloc, an economic and military alliance among the nations of the Mediterranena Sea.;
EVT_91252_OPTIONA;OK.;
EVT_91252_OPTIONB;We must join in their cause!;
EVT_91253_NAME;The Mediterranean bloc;
EVT_91253_DESC;After the end of the Spanish Civil War, Carlist Spain has proposed the creation of a Mediterrean Bloc, an economic and military alliance among the nations of the Mediterranena Sea.;
EVT_91253_OPTIONA;OK.;
EVT_91253_OPTIONB;Leave Canada and join in their cause!;
EVT_91254_NAME;The Spanish Inquisition;
EVT_91254_DESC;A group of Spanish officials, priests, and representatives from Italy have gathered to discuss the large numbers of syndicalists, atheists, and dissenters in Iberia. These 'problems' will plague Carlist Spain in the future if not dealt with now. The representatives have considered heavily a new Spanish Inquisition...;
EVT_91254_OPTIONA;Nobody expects the Spanish Inquisition!;
EVT_91254_OPTIONB;They are Spaniards, too;
EVT_91255_NAME;Portuguese Anarchists;
EVT_91255_DESC;The Spanish Inquisition is in full swing! Officials have been rounding up dissenters of all shapes and forcing them into jails and nationalized labor. Many members of the CNT-FAI have been fleeing to Portugal, seeking shelter amongst the Portuguese anarchists, the União Anarquista Portuguesa. Many priests and officials in Portugal and Spain are demanding action.;
EVT_91255_OPTIONA;Contact Portugal for Spreading the Inquisition;
EVT_91255_OPTIONB;What the Portuguese do is not our business;
EVT_91256_NAME;Portuguese Anarchists;
EVT_91256_DESC;Across the border, the Spanish Inquisition is in full swing! As a result of the oppression, many Spanish anarchists are taking refuge amongst the Portuguese anarchists, the União Anarquista Portuguesa. This is worrying many priests and officials in both countries. The Spanish wish for us to adopt their Inquisition to combat it.;
EVT_91256_OPTIONA;Start the Inquisiton!;
EVT_91256_OPTIONB;Bah! The Spaniards are backward...;
EVT_91257_NAME;The Spanish Inquisition;
