EVT_9070800_NAME;A Time for Change;;;;;;;Время перемен;;x
EVT_9070800_DESC;For many years, the Ottomans have ruled over us in an uneasy agreement with Germany to have Wilhelm on the throne. Today, problems have arisen for the Ottomans, and Zog wishes to claim the throne once and for all and establish a Free Albania.;;;;;;;По соглашению с Германией турки получали контроль над Албанией, при условии, что королем станет принц Вильгельм. Растущие проблемы в Османской империи дали надежду Зогу на трон и освобождение Албании.;;x
EVT_9070800_OPTIONA;Overthrow Wilhelm and set Zog as ruler of all of the Albanians!;;;;;;;Зогу наш правитель!;;x
EVT_9070800_OPTIONB;Nonsense! Wilhelm is loved by the people!;;;;;;;Чушь! Народ любит Вильгельма!;;x
EVT_9070801_NAME;Wilhelm of Albania overthrown!;;;;;;;Вильгельм Албанский свергнут!;;x
EVT_9070801_DESC;For many years, we have ruled over Albania in an uneasy agreement with Germany to have Wilhelm on the throne. Today, the Albanian Zog has overthrown Wilhelm in a coup. How should we react to this mess?;;;;;;;По соглашению с Германией турки получали контроль над Албанией, при условии, что королем станет принц Вильгельм. Сегодня премьер-министр Зогу захватил власть, свергнув Вильгельма. Как нам реагировать?;;x
EVT_9070801_OPTIONA;Recognize Zog as the new king; Let Albania Go;;;;;;Признайте Зогу новым королем;;x
EVT_9070801_OPTIONB;Blasphemy! Crush this upstart!;;;;;;;Проклятье! Сокрушить этих выскочек!;;x
EVT_9070802_NAME;The Ottomans have been defeated!;;;;;;;Османы побеждены!;;x
EVT_9070802_DESC;Glorious day! We have soundly defeated the Ottoman garrison!;;;;;;;Славный день! Мы сокрушили османский гарнизон!;;x
EVT_9070802_OPTIONA;Liri e Shqiperise! Freedom for Albania!;;;;;;;Liri e Shqiperise! Свободу Албании!;;x
EVT_9070803_NAME;The Albanian Campaign is Over;;;;;;;Албанская кампания завершена;;x
EVT_9070803_DESC;After the Albanians began to resist our benevolent rule, we began a campaign to put them back in their place. Now, Albania is in our hands once again.;;;;;;;После того, как албанцы начали сопротивление нашему доброжелательному правлению, нам пришлось отправить войска. Теперь Албания снова в наших руках.;;x
EVT_9070803_OPTIONA;They can't seem to govern themselves, we'll do it for them;;;;;;;Раз им не нравится самоуправление мы установим прямой контроль;;x
EVT_9070804_NAME;Reclaiming Kosovo region;;;;;;;#TODO;;x
EVT_9070804_DESC;With Serbian state finally regaining its former strength, we have the unique opportunity to reclaim Kosovo once again for Serbia ! Members of general staff together with several senior diplomats believe, that decisive action aimed at liberation of Kosovo will meet almost no resistance from weak Albanian state.;;;;;;;#TODO;;x
EVT_9070804_OPTIONA;Claim Kosovo!;;;;;;;Предъявить претензии на Косово!;;x
EVT_9070804_OPTIONB;This is a bit risky...;;;;;;;Это слишком рискованно...;;x
EVT_9070805_NAME;Serbia makes its Move!;;;;;;;Сербия делает ход!;;x
EVT_9070805_DESC;Serbia has taken advantage of our recent vulnerability to establish its control over Kosovo.  While this is a great infringement on our sovereignty, we are currently very weak and may not be able to win a war to reclaim our lands...;;;;;;;#TODO;;x
EVT_9070805_OPTIONA;We can not hope to win;;;;;;;У нас нет надежды на победу;;x
EVT_9070805_OPTIONB;We shall defend our territorial integrity!;;;;;;;Мы защитим нашу территориальную целостность!;;x
EVT_90900_NAME;The Congress of Belgrade;;;;;;;Белградский конгресс;;x
EVT_90900_OPTIONA;Open the Congress!;;;;;;;Открыть конгресс!;;x
EVT_90900_OPTIONB;Keep the debate limited to cultural matters;;;;;;;Ограничить дебаты вопросами культуры;;x
EVT_90900_OPTIONC;Close the Congress;;;;;;;Закрыть конгресс;;x
EVT_90901_NAME;The Congress of Belgrade;;;;;;;Белградский конгресс;;x
EVT_90901_DESC;The State of Serbia has invited us to send a diplomat to Belgrade to take part in the Belgrade Congress to discuss the political and military situation in the Balkans.;;;;;;;Сербия предложила нам принять участие в Белградском конгрессе для обсуждения политической и военной ситуации на Балканах.;;x
EVT_90901_OPTIONA;Announce our support for the Belgrade Pact;;;;;;;Присоединиться к пакту;;x
EVT_90901_OPTIONB;We have no interest in expanding in this direction;;;;;;;Отказаться от участия;;x
EVT_90954_NAME;The Congress of Belgrade;;;;;;;Белградский конгресс;;x
EVT_90954_DESC;The State of Serbia has invited us to send a diplomat to Belgrade to take part in the Belgrade Congress to discuss the political and military situation in the Balkans.;;;;;;;Сербия предложила нам принять участие в Белградском конгрессе для обсуждения политической и военной ситуации на Балканах.;;x
EVT_90954_OPTIONA;Announce our support for the Belgrade Pact;;;;;;;Присоединиться к пакту;;x
EVT_90954_OPTIONB;We have no interest in expanding in this direction;;;;;;;Отказаться от участия;;x
EVT_90902_NAME;The Congress of Belgrade;;;;;;;Белградский конгресс;;x
EVT_90902_DESC;The State of Serbia has invited us to send a diplomat to Belgrade to take part in the Belgrade Congress to discuss the political and military situation in the Balkans.;;;;;;;Сербия предложила нам принять участие в Белградском конгрессе для обсуждения политической и военной ситуации на Балканах.;;x
EVT_90902_OPTIONA;Announce our support for the Belgrade Pact;;;;;;;Присоединиться к пакту;;x
EVT_90902_OPTIONB;We have no interest in expanding in this direction;;;;;;;Отказаться от участия;;x
EVT_90903_NAME;Formation of the Belgrade Pact;;;;;;;Заключение Белградского пакта;;x
EVT_90903_DESC;With the delegates sent to negotiate having agreed to a military alliance, the Belgrade Pact is now a reality! Soon we will redeem ourselves against the Bulgarians...;;;;;;;Мы договорились с делегатами о военном союзе, теперь Белградский пакт стал реальностью! Скоро мы будем готовы выступить против болгар...;;x
EVT_90903_OPTIONA;Great!;;;;;;;Отлично!;;x
EVT_90904_NAME;Belgrade Congress argues for a new order in the Balkans!;;;;;;;Белградский конгресс выступает за новый порядок на Балканах!;;x
EVT_90904_DESC;The Serbians have convened the 'Belgrade Congress' which is clearly aimed at destroying the balance in the Balkans. How should we respond?;;;;;;;По предложению сербов был созван 'Белградский конгресс', уничтоживший баланс на Балканском полуострове. Как мы должны реагировать?;;x
EVT_90904_OPTIONA;Announce our continued support for Bulgaria;;;;;;;Объявить о нашей неизменной поддержке Болгарии;;x
EVT_90904_OPTIONB;We must avoid Balkan entanglements;;;;;;;Мы должны избегать проблем на Балканах;;x
EVT_90904_OPTIONC;Announce our support for Belgrade pact;;;;;;;Объявить о нашей поддержке Пакта;;x
EVT_90993_NAME;German Empire supports Bulgaria !;;;;;;;#TODO;;x
EVT_90993_DESC;German Empire despite our effort and effort of other states decided to continue with its support of Bulgaria. We wonґt be able to wage war against Bulgaria while powerfull armies of the German Empire are not distracted elsewhere....;;;;;;;#TODO;;x
EVT_90993_OPTIONA;This isn't good...;;;;;;;#TODO;;x
EVT_90905_NAME;Belgrade Congress argues for a new order in the Balkans!;;;;;;;Белградский конгресс выступает за новый порядок на Балканах!;;x
EVT_90905_DESC;The Serbians have convened the Belgrade Congress and has argued for a reordering of the Balkans. How should we respond?;;;;;;;По предложению сербов был созван 'Белградский конгресс', уничтоживший баланс на Балканском полуострове. Как мы должны реагировать?;;x
EVT_90905_OPTIONA;Announce our support for Bulgaria;;;;;;;Объявить о нашей поддержке Болгарии;;x
EVT_90905_OPTIONB;We must avoid Balkan entanglements;;;;;;;Мы должны избегать проблем на Балканах;;x
EVT_90955_NAME;Belgrade Congress Argues for New Order in the Balkans!;;;;;;;Белградский конгресс выступает за новый порядок на Балканах!;;x
EVT_90955_DESC;The members of the Belgrade Pact, a new bloc that has formed in the neighboring Balkans, seem to be preparing for war by the looks of it. Romania and Serbia especially are a threat to the territorial integrity of our empire.;;;;;;;Члены Белградского пакта, нового военного блока на Балканском полуострове, похоже готовятся к войне. Румыния и Сербия представляют угрозу территориальной целостности нашей империи.;;x
EVT_90955_OPTIONA;Announce our support for Bulgaria;;;;;;;Объявить о нашей поддержке Болгарии;;x
EVT_90955_OPTIONB;We must avoid Balkan entanglements;;;;;;;Мы должны избегать проблем на Балканах;;x
EVT_90956_NAME;Belgrade Congress Argues for New Order in the Balkans!;;;;;;;Белградский конгресс выступает за новый порядок на Балканах!;;x
EVT_90956_DESC;The members of the Belgrade Pact, a new bloc that has formed in the neighboring Balkans, seem to be preparing for war by the looks of it. Romania and Serbia especially are a threat to the territorial integrity of our empire.;;;;;;;Члены Белградского пакта, нового военного блока на Балканском полуострове, похоже готовятся к войне. Румыния и Сербия представляют угрозу территориальной целостности нашей империи.;;x
EVT_90956_OPTIONA;Announce our support for Bulgaria;;;;;;;Объявить о нашей поддержке Болгарии;;x
EVT_90956_OPTIONB;We must avoid Balkan entanglements;;;;;;;Мы должны избегать проблем на Балканах;;x
EVT_90957_NAME;Belgrade Congress Argues for New Order in the Balkans!;;;;;;;Белградский конгресс выступает за новый порядок на Балканах!;;x
